Outcome,Interaction_Coeff,p-value
years_edu_all_rural,0.6146016795955898,0.00016343492298782601
enrollment6_12yo_rural,1.0814223474265119,0.004938770763649782
enrollment13_17yo_rural,2.5003560110294436,0.04177169485957962
dwellings_low_quality_rural,0.9288851685661879,0.6901918801652243
years_edu_all_urban,0.5504839152573557,0.00019664768559976038
enrollment6_12yo_urban,0.4183502794118077,0.026824791042636385
enrollment13_17yo_urban,1.0990802352941578,0.12630838397232083
dwellings_low_quality_urban,0.9051128939338271,0.3366055549311483
